"Date","Price","Open","High","Low","Change %"
"12/05/1988","9.126","9.126","9.126","9.126","-0.53%"
"12/02/1988","9.175","9.175","9.175","9.175","1.84%"
"12/01/1988","9.009","9.009","9.009","9.009","-0.58%"
"11/30/1988","9.062","9.062","9.062","9.062","-0.81%"
"11/29/1988","9.136","9.136","9.136","9.136","-0.26%"
"11/28/1988","9.160","9.160","9.160","9.160","-0.11%"
"11/25/1988","9.170","9.170","9.170","9.170","0.97%"
"11/23/1988","9.082","9.082","9.082","9.082","0.11%"
"11/22/1988","9.072","9.072","9.072","9.072","0.38%"
"11/21/1988","9.038","9.038","9.038","9.038","-0.11%"
"11/18/1988","9.048","9.048","9.048","9.048","-0.06%"
"11/17/1988","9.053","9.053","9.053","9.053","0.64%"
"11/16/1988","8.995","8.995","8.995","8.995","0.81%"
"11/15/1988","8.923","8.923","8.923","8.923","0.11%"
"11/14/1988","8.913","8.913","8.913","8.913","0.16%"
"11/10/1988","8.899","8.899","8.899","8.899","0.00%"
"11/09/1988","8.899","8.899","8.899","8.899","0.03%"
"11/08/1988","8.896","8.896","8.896","8.896","-0.17%"
"11/07/1988","8.911","8.911","8.911","8.911","0.70%"
"11/04/1988","8.849","8.849","8.849","8.849","1.90%"
"11/03/1988","8.684","8.684","8.684","8.684","-0.44%"
"11/02/1988","8.722","8.722","8.722","8.722","0.60%"
"11/01/1988","8.670","8.670","8.670","8.670","0.32%"
"10/31/1988","8.642","8.642","8.642","8.642","-0.48%"
"10/28/1988","8.684","8.684","8.684","8.684","-0.38%"
"10/27/1988","8.717","8.717","8.717","8.717","-0.81%"
"10/26/1988","8.788","8.788","8.788","8.788","-0.27%"
"10/25/1988","8.812","8.812","8.812","8.812","-0.11%"
"10/24/1988","8.822","8.822","8.822","8.822","0.00%"
"10/21/1988","8.822","8.822","8.822","8.822","0.27%"
"10/20/1988","8.798","8.798","8.798","8.798","-0.22%"
"10/19/1988","8.817","8.817","8.817","8.817","0.38%"
"10/18/1988","8.784","8.784","8.784","8.784","0.00%"
"10/17/1988","8.784","8.784","8.784","8.784","-0.27%"
"10/14/1988","8.808","8.808","8.808","8.808","-0.27%"
"10/13/1988","8.832","8.832","8.832","8.832","-0.11%"
"10/12/1988","8.842","8.842","8.842","8.842","1.13%"
"10/11/1988","8.743","8.743","8.743","8.743","0.54%"
"10/07/1988","8.696","8.696","8.696","8.696","-1.86%"
"10/06/1988","8.861","8.861","8.861","8.861","0.00%"
"10/05/1988","8.861","8.861","8.861","8.861","0.00%"
"10/04/1988","8.861","8.861","8.861","8.861","0.32%"
"10/03/1988","8.833","8.833","8.833","8.833","-0.27%"
"09/30/1988","8.857","8.857","8.857","8.857","-1.38%"
"09/29/1988","8.981","8.981","8.981","8.981","-0.85%"
"09/28/1988","9.058","9.058","9.058","9.058","0.32%"
"09/27/1988","9.029","9.029","9.029","9.029","0.32%"
"09/26/1988","9.000","9.000","9.000","9.000","0.52%"
"09/23/1988","8.953","8.953","8.953","8.953","0.00%"
"09/22/1988","8.953","8.953","8.953","8.953","0.27%"
"09/21/1988","8.929","8.929","8.929","8.929","-0.38%"
"09/20/1988","8.963","8.963","8.963","8.963","-0.04%"
"09/19/1988","8.967","8.967","8.967","8.967","0.41%"
"09/16/1988","8.930","8.930","8.930","8.930","0.21%"
"09/15/1988","8.911","8.911","8.911","8.911","0.43%"
"09/14/1988","8.873","8.873","8.873","8.873","-0.75%"
"09/13/1988","8.940","8.940","8.940","8.940","-0.10%"
"09/12/1988","8.949","8.949","8.949","8.949","0.53%"
"09/09/1988","8.902","8.902","8.902","8.902","-0.90%"
"09/08/1988","8.983","8.983","8.983","8.983","0.00%"
"09/07/1988","8.983","8.983","8.983","8.983","-0.11%"
"09/06/1988","8.993","8.993","8.993","8.993","-0.27%"
"09/02/1988","9.017","9.017","9.017","9.017","-2.55%"
"09/01/1988","9.253","9.253","9.253","9.253","-0.01%"
"08/31/1988","9.254","9.254","9.254","9.254","-0.52%"
"08/30/1988","9.302","9.302","9.302","9.302","-0.01%"
"08/29/1988","9.303","9.303","9.303","9.303","-0.83%"
"08/26/1988","9.381","9.381","9.381","9.381","-0.32%"
"08/25/1988","9.411","9.411","9.411","9.411","0.74%"
"08/24/1988","9.342","9.342","9.342","9.342","0.11%"
"08/23/1988","9.332","9.332","9.332","9.332","-0.42%"
"08/22/1988","9.371","9.371","9.371","9.371","0.31%"
"08/19/1988","9.342","9.342","9.342","9.342","-0.11%"
"08/18/1988","9.352","9.352","9.352","9.352","-0.27%"
"08/17/1988","9.377","9.377","9.377","9.377","0.27%"
"08/16/1988","9.352","9.352","9.352","9.352","-0.27%"
"08/15/1988","9.377","9.377","9.377","9.377","0.31%"
"08/12/1988","9.348","9.348","9.348","9.348","0.00%"
"08/11/1988","9.348","9.348","9.348","9.348","0.43%"
"08/10/1988","9.308","9.308","9.308","9.308","1.14%"
"08/09/1988","9.203","9.203","9.203","9.203","0.98%"
"08/08/1988","9.114","9.114","9.114","9.114","-0.10%"
"08/05/1988","9.123","9.123","9.123","9.123","1.57%"
"08/04/1988","8.982","8.982","8.982","8.982","-0.48%"
"08/03/1988","9.025","9.025","9.025","9.025","0.27%"
"08/02/1988","9.001","9.001","9.001","9.001","-0.71%"
"08/01/1988","9.065","9.065","9.065","9.065","-0.58%"
"07/29/1988","9.118","9.118","9.118","9.118","-0.49%"
"07/28/1988","9.163","9.163","9.163","9.163","0.16%"
"07/27/1988","9.148","9.148","9.148","9.148","0.87%"
"07/26/1988","9.069","9.069","9.069","9.069","-0.22%"
"07/25/1988","9.089","9.089","9.089","9.089","-0.27%"
"07/22/1988","9.114","9.114","9.114","9.114","-0.37%"
"07/21/1988","9.148","9.148","9.148","9.148","0.48%"
"07/20/1988","9.104","9.104","9.104","9.104","0.05%"
"07/19/1988","9.099","9.099","9.099","9.099","-0.37%"
"07/18/1988","9.133","9.133","9.133","9.133","0.69%"
"07/15/1988","9.070","9.070","9.070","9.070","-0.37%"
"07/14/1988","9.104","9.104","9.104","9.104","-0.11%"
"07/13/1988","9.114","9.114","9.114","9.114","0.39%"
"07/12/1988","9.079","9.079","9.079","9.079","0.75%"
"07/11/1988","9.011","9.011","9.011","9.011","-0.32%"
"07/08/1988","9.040","9.040","9.040","9.040","1.19%"
"07/07/1988","8.934","8.934","8.934","8.934","0.43%"
"07/06/1988","8.896","8.896","8.896","8.896","0.87%"
"07/05/1988","8.819","8.819","8.819","8.819","0.77%"
"07/01/1988","8.752","8.752","8.752","8.752","-0.66%"
"06/30/1988","8.810","8.810","8.810","8.810","-0.70%"
"06/29/1988","8.872","8.872","8.872","8.872","0.06%"
"06/28/1988","8.867","8.867","8.867","8.867","-0.75%"
"06/27/1988","8.934","8.934","8.934","8.934","0.91%"
"06/24/1988","8.853","8.853","8.853","8.853","-0.33%"
"06/23/1988","8.882","8.882","8.882","8.882","-0.16%"
"06/22/1988","8.896","8.896","8.896","8.896","-1.55%"
"06/21/1988","9.036","9.036","9.036","9.036","0.21%"
"06/20/1988","9.017","9.017","9.017","9.017","-0.16%"
"06/17/1988","9.031","9.031","9.031","9.031","1.51%"
"06/16/1988","8.897","8.897","8.897","8.897","2.18%"
"06/15/1988","8.707","8.707","8.707","8.707","0.32%"
"06/14/1988","8.679","8.679","8.679","8.679","-2.56%"
"06/13/1988","8.907","8.907","8.907","8.907","-0.21%"
"06/10/1988","8.926","8.926","8.926","8.926","-0.38%"
"06/09/1988","8.960","8.960","8.960","8.960","0.44%"
"06/08/1988","8.921","8.921","8.921","8.921","-1.12%"
"06/07/1988","9.022","9.022","9.022","9.022","0.59%"
"06/06/1988","8.969","8.969","8.969","8.969","0.04%"
"06/03/1988","8.965","8.965","8.965","8.965","-1.11%"
"06/02/1988","9.066","9.066","9.066","9.066","0.27%"
"06/01/1988","9.042","9.042","9.042","9.042","-1.86%"
"05/31/1988","9.213","9.213","9.213","9.213","-0.31%"
"05/27/1988","9.242","9.242","9.242","9.242","0.31%"
"05/26/1988","9.213","9.213","9.213","9.213","0.16%"
"05/25/1988","9.198","9.198","9.198","9.198","-0.22%"
"05/24/1988","9.218","9.218","9.218","9.218","-0.16%"
"05/23/1988","9.233","9.233","9.233","9.233","0.16%"
"05/20/1988","9.218","9.218","9.218","9.218","0.32%"
"05/19/1988","9.189","9.189","9.189","9.189","-0.15%"
"05/18/1988","9.203","9.203","9.203","9.203","1.01%"
"05/17/1988","9.111","9.111","9.111","9.111","1.08%"
"05/16/1988","9.014","9.014","9.014","9.014","0.31%"
"05/13/1988","8.986","8.986","8.986","8.986","-1.10%"
"05/12/1988","9.086","9.086","9.086","9.086","0.00%"
"05/11/1988","9.086","9.086","9.086","9.086","0.23%"
"05/10/1988","9.065","9.065","9.065","9.065","0.44%"
"05/09/1988","9.025","9.025","9.025","9.025","0.18%"
"05/06/1988","9.009","9.009","9.009","9.009","1.13%"
"05/05/1988","8.908","8.908","8.908","8.908","0.23%"
"05/04/1988","8.888","8.888","8.888","8.888","-0.06%"
"05/03/1988","8.893","8.893","8.893","8.893","0.29%"
"04/29/1988","8.867","8.867","8.867","8.867","0.17%"
"04/28/1988","8.852","8.852","8.852","8.852","0.74%"
"04/27/1988","8.787","8.787","8.787","8.787","-0.06%"
"04/26/1988","8.792","8.792","8.792","8.792","0.29%"
"04/25/1988","8.767","8.767","8.767","8.767","-0.11%"
"04/22/1988","8.777","8.777","8.777","8.777","-0.39%"
"04/21/1988","8.811","8.811","8.811","8.811","-0.17%"
"04/20/1988","8.826","8.826","8.826","8.826","0.17%"
"04/19/1988","8.811","8.811","8.811","8.811","0.17%"
"04/18/1988","8.796","8.796","8.796","8.796","0.62%"
"04/15/1988","8.742","8.742","8.742","8.742","0.74%"
"04/14/1988","8.678","8.678","8.678","8.678","1.54%"
"04/13/1988","8.546","8.546","8.546","8.546","-0.22%"
"04/12/1988","8.565","8.565","8.565","8.565","-0.17%"
"04/11/1988","8.580","8.580","8.580","8.580","0.80%"
"04/08/1988","8.512","8.512","8.512","8.512","-1.01%"
"04/07/1988","8.599","8.599","8.599","8.599","0.00%"
"04/06/1988","8.599","8.599","8.599","8.599","-0.84%"
"04/05/1988","8.672","8.672","8.672","8.672","0.06%"
"04/04/1988","8.667","8.667","8.667","8.667","1.14%"
"03/31/1988","8.569","8.569","8.569","8.569","0.00%"
"03/30/1988","8.569","8.569","8.569","8.569","0.28%"
"03/29/1988","8.545","8.545","8.545","8.545","-0.18%"
"03/28/1988","8.560","8.560","8.560","8.560","1.09%"
"03/25/1988","8.468","8.468","8.468","8.468","-0.40%"
"03/24/1988","8.502","8.502","8.502","8.502","0.46%"
"03/23/1988","8.463","8.463","8.463","8.463","0.06%"
"03/22/1988","8.458","8.458","8.458","8.458","0.00%"
"03/21/1988","8.458","8.458","8.458","8.458","0.68%"
"03/18/1988","8.401","8.401","8.401","8.401","1.25%"
"03/17/1988","8.297","8.297","8.297","8.297","-0.79%"
"03/16/1988","8.363","8.363","8.363","8.363","0.80%"
"03/15/1988","8.297","8.297","8.297","8.297","0.06%"
"03/14/1988","8.292","8.292","8.292","8.292","0.00%"
"03/11/1988","8.292","8.292","8.292","8.292","-0.68%"
"03/10/1988","8.349","8.349","8.349","8.349","0.46%"
"03/09/1988","8.311","8.311","8.311","8.311","-0.29%"
